MOVIES,YEAR,GENRE,IMDB-RATING,DURATIONS,IMAGE,SCREENSHOT,TRAILER,SYNOPSIS,720p torrent,1080p torrent
Home Sweet Home,2021 [CHINESE],Drama / Mystery / Thriller,5.5,  1 hr 49 min  ,https://img.yts.mx/assets/images/movies/home_sweet_home_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/home_sweet_home_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/home_sweet_home_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/home_sweet_home_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/G8Qkf-CIK_c?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," A story that follows a family of four leading harmonious and contented lives. When a mysterious visitor starts residing in their basement, their lives are turned upside down as strange events begin to occur. ",https://yts.mx/torrent/download/5FB605990192D3BCDF6F9106E4EF9CA22F7C2488,
Royal Jelly,2021,Horror,0,  1 hr 33 min  ,https://img.yts.mx/assets/images/movies/royal_jelly_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/royal_jelly_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/royal_jelly_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/royal_jelly_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/sG7IhpJ7kkc?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," A high school social outcast is taken under the wing of a mysterious mentor, only to be groomed as the hive's next queen. ",https://yts.mx/torrent/download/994B4A1E278D002430BBD906CCEA3865CD406247,https://yts.mx/torrent/download/0A1AF645F9A65DCDF14F02D4A32545788BA36040
Lady Usher,2021,Thriller,0,  1 hr 30 min  ,https://img.yts.mx/assets/images/movies/lady_usher_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/lady_usher_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/lady_usher_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/lady_usher_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/0ZinBUEipC0?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," This motion picture is a suspense/thriller based on the short story; The Fall of the House of Usher by Edgar Allan Poe. This updated re-telling is written by award winning filmmaker George Adams and possesses the quintessential features of the Gothic: a large dreary house, strange macabre characters with doubled personalities and a mysterious sickness. A contrast, this standard formula has a plot that is bizarre, unexpected, and full of unforeseen disturbances. Part of the terror in this story is the vagueness of time and place and the haziness sets the tone for a plot that blurs the real and the eccentric. —George Adams ",https://yts.mx/torrent/download/BFF49F20B4B566F6F322E9EB7E404B678B6509CB,https://yts.mx/torrent/download/48F5EC3E44F04057B27A529620CBFA53093D2AAC
Teenage Vampire,2020,Comedy / Drama / Fantasy,8.6,  1 hr 32 min  ,https://img.yts.mx/assets/images/movies/teenage_vampire_2020/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/teenage_vampire_2020/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/teenage_vampire_2020/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/teenage_vampire_2020/large-screenshot3.jpg']",https://www.youtube.com/embed/?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, Chase and Pam join the high school cheerleading squad in order to be cool and find out the team is infested with Vampires. ,https://yts.mx/torrent/download/C6837CCBF75D31426955710461DE9B0F83C65633,https://yts.mx/torrent/download/DDB6AE97FFF63AF9D378BCEE417914C0A0533CF2
Together,2021,Drama,7.1,  1 hr 32 min  ,https://img.yts.mx/assets/images/movies/together_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/together_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/together_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/together_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/h-2I2VQrUqo?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," This is the story of a family, like so many, who found a way to survive--together. It is the hilarious and heartbreaking story of a husband and wife who are forced to re-evaluate themselves and their relationship through the reality of lockdown. ",https://yts.mx/torrent/download/4A04084A4A7177C75215B473E7CC1A1FF97CC2E2,https://yts.mx/torrent/download/B4F5AA6BE18D7DBA5C47D74713493473C41FAB51
Firepower,1979,Action / Adventure / Crime,5,  1 hr 44 min  ,https://img.yts.mx/assets/images/movies/firepower_1979/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/firepower_1979/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/firepower_1979/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/firepower_1979/large-screenshot3.jpg']",https://www.youtube.com/embed/GNAF3LuNs3k?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, A merc is hired by the F.B.I. to track down a powerful recluse criminal. A woman is also trying to track him down for her own personal vendetta. ,https://yts.mx/torrent/download/4D99D287EABFA5BA1724F153B895A61F8D9D8F83,https://yts.mx/torrent/download/5E30B6560A3695D3AE2B86F172E6A48CA537859B
The Doll Squad,1973,Action / Adventure / Sci-Fi,4.4,  1 hr 31 min  ,https://img.yts.mx/assets/images/movies/the_doll_squad_1973/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/the_doll_squad_1973/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/the_doll_squad_1973/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/the_doll_squad_1973/large-screenshot3.jpg']",https://www.youtube.com/embed/ymr5Or2xsBg?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3, Squad of beautiful government agents tries to catch saboteurs. ,https://yts.mx/torrent/download/998B0C1ABEA6F4E9979E6B753D1E018478FF884F,https://yts.mx/torrent/download/FA385986649D39A3F152E17EFD290D89085FF17D
Prisoners of the Ghostland,2021,Action / Horror / Thriller,5.7,  1 hr 42 min  ,https://img.yts.mx/assets/images/movies/prisoners_of_the_ghostland_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/prisoners_of_the_ghostland_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/prisoners_of_the_ghostland_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/prisoners_of_the_ghostland_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/NWwzX69t3Mc?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Set in the treacherous frontier city of Samurai Town where a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within three days, the bandit sets off on a journey to find the young woman and his own path to redemption. ",https://yts.mx/torrent/download/E82A63CBC486ED73F8586D13DA2B733DC8C95B88,https://yts.mx/torrent/download/B2495C1C213D8D2E77A53AE8E0C9D1295FA138A5
Bad Candy,2020,Horror / Thriller,6.2,  1 hr 43 min  ,https://img.yts.mx/assets/images/movies/bad_candy_2020/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/bad_candy_2020/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/bad_candy_2020/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/bad_candy_2020/large-screenshot3.jpg']",https://www.youtube.com/embed/3x32pRzHxwM?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," Bad Candy follows local Halloween stories of both myth and lessons learned in the community of New Salem. With its annual Psychotronic FM Halloween show, re-enactment radio DJs Chilly Billy and Paul weave the tales of the supernatural of years gone by. In this small town it's a grimy ending for most, but will a few good souls survive? —Scott Hansen & Desiree Connell ",https://yts.mx/torrent/download/1D6E8393333B037ABEBFD058F97D87A90D58A078,https://yts.mx/torrent/download/F39C0018A839092AB5095AC5451CB74AAD5B4178
Best Sellers,2021,Comedy / Drama,6.9,  1 hr 41 min  ,https://img.yts.mx/assets/images/movies/best_sellers_2021/medium-cover.jpg,"['https://img.yts.mx/assets/images/movies/best_sellers_2021/large-screenshot1.jpg', 'https://img.yts.mx/assets/images/movies/best_sellers_2021/large-screenshot2.jpg', 'https://img.yts.mx/assets/images/movies/best_sellers_2021/large-screenshot3.jpg']",https://www.youtube.com/embed/13ixGoK_MgY?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3," A cranky, retired author reluctantly embarks on a final book tour to help out a young publisher. ",https://yts.mx/torrent/download/28B594085DCCA57A8766E59D8B045120F558B737,https://yts.mx/torrent/download/926FDFDD67BC2DE11DCBD6C37E5F2DB552B5D601
